eta index 1,eta index 2,centrality index,mean 1,mean 2,cov,Sigma,Delta,Bcorr
0,14,8,1.09425,1.07876,0.288966,1.12016,-1.7501,0.191881
0,15,0,2.27477,2.24936,2.64023,1.20052,20.3247,0.493533
0,15,1,5.03622,5.29464,1.76225,1.24571,-1.99472,0.215097
0,15,2,3.82508,3.89717,0.951386,1.21056,-3.20313,0.169155
0,15,3,3.1913,3.19667,0.787426,1.19182,-30.4892,0.171427
0,15,4,2.69482,2.64442,0.647196,1.18616,3.7468,0.169751
0,15,5,2.25944,2.17613,0.545423,1.17712,1.78442,0.172868
0,15,6,1.85029,1.75308,0.459779,1.16291,1.17339,0.179998
0,15,7,1.45779,1.35536,0.341676,1.16027,1.12758,0.17319
0,15,8,1.09425,0.993404,0.255496,1.14191,0.954096,0.176612
1,0,0,2.30398,2.27477,4.06162,0.504161,0.384936,0.77871
1,0,1,5.13534,5.03622,5.05439,0.504909,1.57405,0.663145
1,0,2,3.87725,3.82508,3.50998,0.505114,1.02117,0.64342
1,0,3,3.23587,3.1913,2.92206,0.503188,1.27912,0.643766
1,0,4,2.72796,2.69482,2.44455,0.504065,1.54395,0.641415
1,0,5,2.28021,2.25944,2.07699,0.501188,1.39365,0.646119
1,0,6,1.87132,1.85029,1.71047,0.505411,1.47292,0.645242
1,0,7,1.46918,1.45779,1.3269,0.507601,1.23991,0.641091
1,0,8,1.10009,1.09425,0.990437,0.502059,2.85918,0.642616
1,1,0,2.30398,2.30398,5.27711,0,-inf,1
1,1,1,5.13534,5.13534,7.69272,0,inf,1
1,1,2,3.87725,3.87725,5.50267,0,-inf,1
1,1,3,3.23587,3.23587,4.57359,0,-inf,1
1,1,4,2.72796,2.72796,3.83224,0,inf,1
1,1,5,2.28021,2.28021,3.22955,0,-inf,1
1,1,6,1.87132,1.87132,2.66541,0,-inf,1
1,1,7,1.46918,1.46918,2.07883,0,-inf,1
1,1,8,1.10009,1.10009,1.54111,1.08364e-07,-inf,1
1,2,0,2.30398,2.32687,4.15729,0.504463,0.367638,0.780663
1,2,1,5.13534,5.21015,5.15231,0.503411,1.29549,0.664285
1,2,2,3.87725,3.92315,3.54882,0.504792,2.1872,0.643207
1,2,3,3.23587,3.27651,2.96341,0.505857,1.00657,0.642748
1,2,4,2.72796,2.75306,2.47312,0.502774,1.31712,0.642211
1,2,5,2.28021,2.29719,2.07044,0.50614,2.91586,0.641252
1,2,6,1.87132,1.88343,1.72273,0.505924,1.67083,0.644608
1,2,7,1.46918,1.48011,1.35169,0.503589,-0.00282946,0.645413
1,2,8,1.10009,1.10101,0.984987,0.504643,4.4077,0.639449
1,3,0,2.30398,2.3508,3.01964,1.01515,0.0878691,0.561032
1,3,1,5.13534,5.28803,2.54834,1.01366,1.18175,0.325429
1,3,2,3.87725,3.97941,1.56511,1.01661,1.74203,0.281598
1,3,3,3.23587,3.31196,1.31222,1.01692,1.04064,0.282724
1,3,4,2.72796,2.78045,1.09124,1.01373,0.865758,0.281015
1,3,5,2.28021,2.32041,0.92002,1.01369,1.72494,0.282941
1,3,6,1.87132,1.8903,0.759914,1.02036,1.41477,0.283658
1,3,7,1.46918,1.48593,0.601504,1.01431,0.278492,0.286403
1,3,8,1.10009,1.10438,0.427931,1.01404,0.693848,0.276863
1,4,0,2.30398,2.37057,3.02625,1.02821,0.00539898,0.557375
1,4,1,5.13534,5.35829,2.49804,1.02941,1.14411,0.316282
1,4,2,3.87725,4.02577,1.53581,1.03001,1.44807,0.274013
